,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
0,<a href=https://cryptocompare.com/coins/btc/overview>BTC</a>,<a href=https://cryptocompare.com/coins/btc/overview>Bitcoin</a>,"56,959.49",<p class=red>-0.92%</p>,<p class=red>-2.33%</p>,"12,570,963,838.0","1,075,048,060,067.0","18,873,906.0",2021-11-30 21:41:54
1,<a href=https://cryptocompare.com/coins/eth/overview>ETH</a>,<a href=https://cryptocompare.com/coins/eth/overview>Ethereum</a>,"4,606.75",<p class=red>-0.97%</p>,<p class=green>+3.45%</p>,"13,214,483,865.0","545,212,764,988.0","118,350,847.0",2021-11-30 21:41:56
2,<a href=https://cryptocompare.com/coins/sol/overview>SOL</a>,<a href=https://cryptocompare.com/coins/sol/overview>Solana</a>,211.6,<p class=red>-0.41%</p>,<p class=green>+2.24%</p>,"1,827,016,394.0","107,959,662,728.0","510,206,345.0",2021-11-30 21:41:58
3,<a href=https://cryptocompare.com/coins/bnb/overview>BNB</a>,<a href=https://cryptocompare.com/coins/bnb/overview>Binance Coin</a>,619.09,<p class=red>-0.63%</p>,<p class=red>-0.92%</p>,"1,633,677,169.0","103,264,922,653.0","166,801,147.0",2021-11-30 21:41:54
4,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,1.0,<p class=red>-0.9%</p>,<p class=red>-0.13%</p>,"1,315,337,651.0","99,780,166,054.0","99,990,145,360.0",2021-11-30 21:41:59
5,<a href=https://cryptocompare.com/coins/usdt/overview>USDT</a>,<a href=https://cryptocompare.com/coins/usdt/overview>Tether</a>,1.0,<p class=green>+0.0%</p>,<p class=green>+0.0%</p>,"1,119,381,779.0","74,322,168,791.0","74,247,920,870.0",2021-11-30 21:41:50
6,<a href=https://cryptocompare.com/coins/ada/overview>ADA</a>,<a href=https://cryptocompare.com/coins/ada/overview>Cardano</a>,1.56,<p class=red>-0.13%</p>,<p class=red>-3.22%</p>,"881,245,605.0","51,322,597,593.0","32,835,954,954.0",2021-11-30 21:41:54
7,<a href=https://cryptocompare.com/coins/luna/overview>LUNA</a>,<a href=https://cryptocompare.com/coins/luna/overview>Terra</a>,58.38,<p class=red>-0.32%</p>,<p class=green>+11.09%</p>,"1,364,706,237.0","50,646,169,370.0","867,526,025.0",2021-11-30 21:41:54
8,<a href=https://cryptocompare.com/coins/avax/overview>AVAX</a>,<a href=https://cryptocompare.com/coins/avax/overview>Avalanche</a>,120.2,<p class=red>-1.04%</p>,<p class=green>+1.63%</p>,"1,075,587,517.0","47,441,358,124.0","394,686,839.0",2021-11-30 21:41:51
9,<a href=https://cryptocompare.com/coins/dot/overview>DOT</a>,<a href=https://cryptocompare.com/coins/dot/overview>Polkadot</a>,38.08,<p class=red>-1.25%</p>,<p class=green>+3.11%</p>,"1,059,905,908.0","43,486,406,500.0","1,141,974,960.0",2021-11-30 21:42:00
10,<a href=https://cryptocompare.com/coins/axs/overview>AXS</a>,<a href=https://cryptocompare.com/coins/axs/overview>Axie Infinity Shards</a>,135.67,<p class=red>-0.88%</p>,<p class=green>+0.72%</p>,"233,965,045.0","36,630,900,000.0","270,000,000.0",2021-11-30 21:41:40
