,symbol,bid,change,change_percentage
0,EUR/USD,1.129,+0.0028,+0.25%
1,GBP/USD,1.3248,+0.0008,+0.06%
2,USD/JPY,113.5,-0.07,-0.06%
3,USD/CHF,0.9237,-0.0012,-0.13%
4,AUD/USD,0.7125,+0.0008,+0.11%
5,USD/CAD,1.2654,+0.0016,+0.13%
6,NZD/USD,0.6787,0.0000,0.00%
7,USD/ZAR,15.8458,+0.0198,+0.13%
8,USD/TRY,13.5904,+0.1087,+0.81%
9,USD/MXN,21.0102,-0.0066,-0.03%
10,USD/PLN,4.0562,-0.0037,-0.09%
11,USD/SEK,9.0819,-0.0175,-0.19%
12,USD/SGD,1.3644,-0.0006,-0.05%
13,USD/DKK,6.5852,-0.0140,-0.21%
14,USD/NOK,8.9999,-0.0154,-0.17%
15,USD/ILS,3.1261,+0.0003,+0.01%
16,USD/HUF,324.66,-1.01,-0.31%
17,USD/CZK,22.522,-0.0290,-0.13%
18,USD/THB,33.51,-0.145,-0.43%
19,USD/AED,3.6726,+0.0003,+0.01%
20,USD/JOD,0.708,+0.0012,+0.17%
21,USD/KWD,0.3024,+0.0004,+0.12%
22,USD/HKD,7.7969,-0.0015,-0.02%
23,USD/SAR,3.747,-0.0006,-0.02%
24,USD/INR,75.47,+0.084,+0.11%
25,USD/KRW,1176.02,-0.66,-0.06%
26,BRL/USD,0.1782,+0.0024,+1.39%
27,CAD/USD,0.7902,-0.0008,-0.09%
28,CHF/USD,1.0821,+0.0019,+0.18%
29,FJD/USD,0.4652,+0.0035,+0.75%
30,GHS/USD,0.1613,+0.0056,+3.50%
31,JPY/USD,0.881,+0.000750,+0.09%
32,KYD/USD,1.1976,+0.0073,+0.61%
33,SGD/USD,0.7327,+0.0009,+0.12%
34,USD/ALL,106.97,+0.030,+0.03%
35,USD/AMD,490.0,+1.50,+0.31%
36,USD/ANG,1.7998,+0.0178,+1.00%
37,USD/ARS,101.31,-0.0350,-0.03%
38,USD/AUD,1.4027,-0.0013,-0.09%
39,USD/BBD,1.9981,+0.0000,+0.00%
40,USD/BDT,85.79,+0.135,+0.16%
41,USD/BGN,1.732,-0.0032,-0.18%
42,USD/BHD,0.377,+0.0002,+0.05%
43,USD/BIF,1985.0,+7.50,+0.38%
44,USD/BND,1.3644,-0.0006,-0.05%
45,USD/BOB,6.83,+0.0750,+1.10%
46,USD/BRL,5.6128,0.0000,0.00%
47,USD/BSD,0.9938,0.0000,0.00%
48,USD/BWP,11.7096,+0.0624,+0.53%
49,USD/BZD,1.9982,+0.0000,+0.00%
50,USD/CLP,839.3,+0.68,+0.08%
51,USD/CNY,6.3536,-0.0106,-0.17%
52,USD/COP,3907.58,+3.40,+0.09%
53,USD/CRC,633.35,+0.87,+0.14%
54,USD/CUP,0.9706,0.0000,0.00%
55,USD/DJF,177.5,+0.52,+0.30%
56,USD/DOP,56.68,+0.060,+0.11%
57,USD/DZD,138.513,+0.595,+0.43%
58,USD/EGP,15.67,+0.0550,+0.35%
59,USD/ETB,48.1608,+0.5046,+1.05%
60,USD/EUR,0.8856,-0.0017,-0.19%
61,USD/FJD,2.1177,+0.0159,+0.75%
62,USD/GBP,0.7547,-0.0001,-0.02%
63,USD/GEL,3.075,+0.0200,+0.65%
64,USD/GHS,5.98,+0.0400,+0.66%
65,USD/GMD,52.3,+0.3500,+0.67%
66,USD/GNF,9302.0,+199.00,+2.14%
67,USD/GTQ,7.715,+0.0150,+0.19%
68,USD/HNL,24.112,+0.0500,+0.21%
69,USD/HRK,6.6587,-0.0108,-0.16%
70,USD/HTG,99.0,+1.131,+1.13%
71,USD/IDR,14345.0,-29.0,-0.20%
72,USD/IQD,1458.0,+0.46,+0.03%
73,USD/IRR,42000.0,0.00,0.00%
74,USD/ISK,130.22,-0.115,-0.09%
75,USD/JMD,153.91,+0.875,+0.57%
76,USD/KES,112.8,+0.150,+0.13%
77,USD/KHR,4062.0,+10.00,+0.25%
78,USD/KMF,437.65,+3.290,+0.76%
79,USD/KZT,436.68,-0.030,-0.01%
80,USD/LAK,10947.0,+39.00,+0.36%
81,USD/LBP,1505.5,+6.50,+0.43%
82,USD/LKR,201.0,-0.500,-0.25%
83,USD/LSL,15.85,+0.0416,+0.26%
84,USD/LYD,4.5889,+0.0115,+0.25%
85,USD/MAD,9.22,-0.0090,-0.10%
86,USD/MDL,17.55,+0.0882,+0.50%
87,USD/MGA,3945.0,+27.50,+0.70%
88,USD/MKD,54.48,+0.235,+0.43%
89,USD/MMK,1771.5,+0.000,+0.00%
90,USD/MOP,8.031,+0.0050,+0.06%
91,USD/MRO,36.1,+0.380,+1.06%
92,USD/MUR,42.97,+0.300,+0.70%
93,USD/MVR,15.42,+0.0400,+0.26%
94,USD/MWK,802.31,+13.330,+1.66%
95,USD/MYR,4.219,-0.0090,-0.21%
96,USD/NAD,15.861,+0.0335,+0.21%
97,USD/NGN,409.74,+0.000,+0.00%
98,USD/NIO,35.21,+0.0200,+0.06%
99,USD/NPR,120.75,+0.060,+0.05%
